id,hall_id,hall_num
3666,186,1
3664,186,1
3665,186,1
3730,186,1
3731,186,1
3725,186,1
3722,186,1
3692,186,1
3733,186,1
3724,186,1
3723,186,1
3721,186,1
3726,186,1
3732,186,1
3734,186,1
3727,186,1
3728,186,1
3729,186,1
3740,186,1
3737,186,1
3735,186,1
3741,186,1
3742,186,1
3736,186,1
3743,186,1
3823,186,1
3695,186,1
3681,186,1
3739,186,1
3738,186,1
3720,186,1
3746,186,1
3744,186,1
3717,186,1
3799,186,1
3756,186,1
3745,186,1
3827,186,1
3750,186,1
3747,186,1
3753,186,1
3749,186,1
3755,186,1
3716,186,1
3754,186,1
3680,186,1
3751,186,1
3748,186,1
3752,186,1
3782,186,1
3765,186,1
3781,186,1
3780,186,1
3766,186,1
3768,186,1
3824,186,1
3679,186,1
3662,186,1
3711,186,1
3675,186,1
3706,186,1
3777,186,1
3761,186,1
3762,186,1
3778,186,1
3759,186,1
3713,186,1
3700,186,1
3714,186,1
3829,186,1
3826,186,1
3812,186,1
3667,186,1
3818,186,1
3808,186,1
3825,186,1
3783,186,1
3691,186,1
3798,186,1
3758,186,1
3764,186,1
3704,186,1
3703,186,1
3697,186,1
3669,186,1
3760,186,1
3694,186,1
3693,186,1
3690,186,1
3670,186,1
3822,186,1
3817,186,1
3821,186,1
3701,186,1
3677,186,1
3702,186,1
3803,186,1
3806,186,1
3698,186,1
3816,186,1
3809,186,1
3815,186,1
3813,186,1
3814,186,1
3810,186,1
3807,186,1
3696,186,1
3678,186,1
3674,186,1
3800,186,1
3820,186,1
3676,186,1
3811,186,1
3819,186,1
3828,186,1
3763,186,1
3769,186,1
3795,186,1
3767,186,1
3775,186,1
3804,186,1
3772,186,1
3771,186,1
3805,186,1
3770,186,1
3797,186,1
3773,186,1
3802,186,1
3785,186,1
3779,186,1
3774,186,1
3776,186,1
3757,186,1
3784,186,1
3801,186,1
3794,186,1
3793,186,1
3790,186,1
3791,186,1
3796,186,1
3787,186,1
3789,186,1
3786,186,1
3792,186,1
3788,186,1
8782,188,3
8781,188,3
8786,188,3
8784,188,3
8790,188,3
8785,188,3
8789,188,3
8788,188,3
8783,188,3
8780,188,3
8787,188,3
7285,200,16a
7282,200,16a
7286,200,16a
7284,200,16a
7287,200,16a
7289,200,16a
7283,200,16a
7288,200,16a
7274,200,16a
